timestamp,dataset,prompt_id,prompt,score,error
2026-02-14T13:36:52.316473,AILAStatutes,gen0_00,,0.48543,
2026-02-14T13:58:27.862028,AILAStatutes,gen0_01,Retrieve relevant statutes based on this legal scenario provided,0.50793,
2026-02-14T14:15:07.404039,AILAStatutes,gen0_02,Locate the legislative provisions matching the described legal situation,0.51728,
2026-02-14T14:30:50.464912,AILAStatutes,gen0_03,Find related legal texts that answer the scenario's requirements,0.51477,
2026-02-14T14:48:44.513018,AILAStatutes,gen0_04,"Using the scenario context, match with applicable legal statutes",0.48802,
2026-02-14T16:15:32.276466,AILAStatutes,gen0_07,"Given a legislative query, fetch pertinent statute information",0.50179,
2026-02-14T16:15:32.288059,AILAStatutes,gen0_04,"Using the scenario context, match with applicable legal statutes",0.50928,
2026-02-14T16:15:32.327596,AILAStatutes,gen0_03,Find related legal texts that answer the scenario's requirements,0.51627,
2026-02-14T16:15:32.348536,AILAStatutes,gen0_00,,0.48635,
2026-02-14T16:15:32.359155,AILAStatutes,gen0_02,Locate the legislative provisions matching the described legal situation,0.51909,
2026-02-14T16:15:32.360674,AILAStatutes,gen0_06,Identify statutes that are contextually relevant to the scenario,0.50132,
2026-02-14T16:15:32.367225,AILAStatutes,gen0_05,Search for statutory provisions addressing the given legal problem,0.5061,
2026-02-14T16:15:32.371947,AILAStatutes,gen0_01,Retrieve relevant statutes based on this legal scenario provided,0.50676,
2026-02-14T16:15:39.465209,AILAStatutes,gen0_09,Search for statutes with high semantic similarity to the scenario,0.51512,
2026-02-14T16:15:39.539164,AILAStatutes,gen0_14,Search for highly relevant legal statutes for the situation,0.50892,
2026-02-14T16:15:39.629210,AILAStatutes,gen0_15,Find statutes that optimize for both precision and recall,0.48462,
2026-02-14T16:15:39.816893,AILAStatutes,gen0_08,"For the detailed situation, obtain the most precise legal statutes",0.51447,
2026-02-14T16:15:39.822501,AILAStatutes,gen0_10,Discover statutes that provide answers to the legal query,0.51308,
2026-02-14T16:15:39.845620,AILAStatutes,gen0_13,Fetch statutes offering the most comprehensive scenario coverage,0.5088,
2026-02-14T16:15:39.863098,AILAStatutes,gen0_12,Match the described scenario to relevant legislative provisions,0.5127,
2026-02-14T16:15:40.288528,AILAStatutes,gen0_11,"Based on scenario details, find exact match legal statutes",0.51302,
2026-02-14T16:15:46.955150,AILAStatutes,gen0_17,"Using scenario nuances, discover relevant legal provisions",0.49853,
2026-02-14T16:15:46.976084,AILAStatutes,gen0_18,Identify legislative texts that align with described requirements,0.50979,
2026-02-14T16:15:47.021045,AILAStatutes,gen0_16,Locate statutes focusing on statutory relevance criteria,0.4932,
2026-02-14T16:15:47.139682,AILAStatutes,gen0_19,Find accurately matching legal statutes to support the case,0.52212,
2026-02-14T16:15:47.172963,AILAStatutes,gen0_22,Locate statutes prioritizing answer quality and scenario fit,0.51339,
2026-02-14T16:15:47.240270,AILAStatutes,gen0_20,Search and surface relevant statutory provisions effectively,0.5028,
2026-02-14T16:15:47.307892,AILAStatutes,gen0_21,"For this scenario, obtain supporting legal statute references",0.50899,
2026-02-14T16:15:47.365673,AILAStatutes,gen0_23,Secure legislative sections closely matching the scenario demands,0.50388,
2026-02-14T16:15:54.189791,AILAStatutes,gen0_24,"Using provided scenario details, surface best-fit legal statutes",0.50469,
2026-02-14T16:27:35.120033,AILAStatutes,gen1_05,Instruct: Find matching legal statutes to potentially navigate cases,0.51892,
2026-02-14T16:27:35.139621,AILAStatutes,gen1_06,Instruct: Search provisions that best meet the legal situation,0.49905,
2026-02-14T16:27:37.421651,AILAStatutes,gen1_02,Instruct: Find legislative statutes strongly relevant to the legal situation,0.51653,
2026-02-14T16:27:37.454115,AILAStatutes,gen1_04,Instruct: Discover legislative provisions highly relevant to the case,0.51486,
2026-02-14T16:27:37.468189,AILAStatutes,gen1_03,Instruct: Search matching legal texts addressing case specifics,0.51206,
2026-02-14T16:27:37.488981,AILAStatutes,gen1_00,Instruct: Search for legislative texts that closely align with the case needs,0.51366,
2026-02-14T16:27:37.507214,AILAStatutes,gen1_07,Instruct: Find legal provisions most relevant to the scenario,0.51321,
2026-02-14T16:27:37.574058,AILAStatutes,gen1_01,Instruct: Locate legal provisions that directly support the case scenario,0.51589,
2026-02-14T16:27:42.279586,AILAStatutes,gen1_08,Instruct: Match legislative statutes directly with case requirements,0.51013,
2026-02-14T16:27:42.389926,AILAStatutes,gen1_09,Instruct: Search legislative texts aligned with legal requirements,0.51709,
2026-02-14T16:27:44.457843,AILAStatutes,gen1_14,Instruct: Discover key legislative statutes for effective case support,0.4972,
2026-02-14T16:27:44.491777,AILAStatutes,gen1_12,Instruct: Search directly applicable statutes to legal scenarios,0.50902,
