timestamp,dataset,prompt_id,prompt,score,error
2026-01-16T16:39:43.903494,AILAStatutes,gen0_01,Retrieve relevant statutes based on this legal scenario provided,0.5376,
2026-01-16T16:39:58.440294,AILAStatutes,gen0_00,,0.50254,
2026-01-16T16:39:59.508506,AILAStatutes,gen0_02,Locate the legislative provisions matching the described legal situation,0.55075,
2026-01-16T16:40:15.544160,AILAStatutes,gen0_04,"Using the scenario context, match with applicable legal statutes",0.55143,
2026-01-16T16:40:16.152436,AILAStatutes,gen0_03,Find related legal texts that answer the scenario's requirements,0.52675,
2026-01-16T16:40:37.066893,AILAStatutes,gen0_05,Search for statutory provisions addressing the given legal problem,0.53565,
2026-01-16T16:41:04.716217,AILAStatutes,gen0_07,"Given a legislative query, fetch pertinent statute information",0.54758,
2026-01-16T16:41:07.717765,AILAStatutes,gen0_06,Identify statutes that are contextually relevant to the scenario,0.54293,
2026-01-16T16:41:34.446561,AILAStatutes,gen0_08,"For the detailed situation, obtain the most precise legal statutes",0.54137,
2026-01-16T16:41:58.063773,AILAStatutes,gen0_10,Discover statutes that provide answers to the legal query,0.52931,
2026-01-16T16:42:05.912674,AILAStatutes,gen0_09,Search for statutes with high semantic similarity to the scenario,0.53945,
2026-01-16T16:42:32.914902,AILAStatutes,gen0_11,"Based on scenario details, find exact match legal statutes",0.55483,
2026-01-16T16:43:00.684481,AILAStatutes,gen0_12,Match the described scenario to relevant legislative provisions,0.54794,
2026-01-16T16:43:11.253893,AILAStatutes,gen0_13,Fetch statutes offering the most comprehensive scenario coverage,0.52918,
2026-01-16T16:43:43.606857,AILAStatutes,gen0_16,Locate statutes focusing on statutory relevance criteria,0.48612,
2026-01-16T16:44:46.885067,AILAStatutes,gen0_14,Search for highly relevant legal statutes for the situation,0.53706,
2026-01-16T16:44:50.299787,AILAStatutes,gen0_17,"Using scenario nuances, discover relevant legal provisions",0.53773,
2026-01-16T16:44:51.317070,AILAStatutes,gen0_15,Find statutes that optimize for both precision and recall,0.52303,
2026-01-16T16:45:00.271020,AILAStatutes,gen0_18,Identify legislative texts that align with described requirements,0.54329,
2026-01-16T16:45:06.279513,AILAStatutes,gen0_19,Find accurately matching legal statutes to support the case,0.55058,
2026-01-16T16:45:08.602233,AILAStatutes,gen0_20,Search and surface relevant statutory provisions effectively,0.54152,
2026-01-16T16:45:17.927088,AILAStatutes,gen0_23,Secure legislative sections closely matching the scenario demands,0.53611,
2026-01-16T16:45:23.519363,AILAStatutes,gen0_21,"For this scenario, obtain supporting legal statute references",0.54379,
2026-01-16T16:45:23.875570,AILAStatutes,gen0_22,Locate statutes prioritizing answer quality and scenario fit,0.53257,
2026-01-16T16:45:25.878051,AILAStatutes,gen0_24,"Using provided scenario details, surface best-fit legal statutes",0.54983,
2026-01-16T16:45:44.937722,AILAStatutes,gen1_00,"Instruct: Precisely match legal statutes using scenario context
Query: ",0.54092,
2026-01-16T16:45:45.118439,AILAStatutes,gen1_01,"Instruct: Locate applicable provisions matching the legal scenario
Query: ",0.54429,
2026-01-16T16:45:45.912493,AILAStatutes,gen1_02,"Instruct: Use detailed scenario context to identify relevant statutes
Query: ",0.54544,
2026-01-16T16:45:52.103230,AILAStatutes,gen1_04,"Instruct: Find provisions that best match the scenario details
Query: ",0.54502,
2026-01-16T16:45:52.809082,AILAStatutes,gen1_03,"Instruct: Detect legal statutes that fit the case description
Query: ",0.55035,
2026-01-16T16:45:52.897319,AILAStatutes,gen1_05,"Instruct: Accurately find applicable statutes to support case context
Query: ",0.54155,
2026-01-16T16:45:58.880919,AILAStatutes,gen1_06,"Instruct: Using scenario details, pinpoint the best legal matches
Query: ",0.55263,
2026-01-16T16:45:59.952854,AILAStatutes,gen1_08,"Instruct: Directly surface relevant legal statutes to the scenario
Query: ",0.54467,
2026-01-16T16:46:00.456187,AILAStatutes,gen1_07,"Instruct: Discover statute matches without focusing on irrelevant aspects
Query: ",0.53407,
2026-01-16T16:46:06.315562,AILAStatutes,gen1_09,"Instruct: Find comprehensive and applicable statute provisions
Query: ",0.54626,
2026-01-16T16:46:07.053270,AILAStatutes,gen1_10,"Instruct: Efficiently match scenario with relevant statutes
Query: ",0.55496,
2026-01-16T16:46:07.557648,AILAStatutes,gen1_11,"Instruct: Identify statutory provisions aligned with the scenario
Query: ",0.54968,
2026-01-16T16:46:13.909956,AILAStatutes,gen1_12,"Instruct: Match the provided context with accurate legal provisions
Query: ",0.55975,
2026-01-16T16:46:14.496128,AILAStatutes,gen1_14,"Instruct: Surface relevant statutes fitting precise scenario needs
Query: ",0.54235,
2026-01-16T16:46:15.052663,AILAStatutes,gen1_13,"Instruct: Use the scenario details to extract accurately matching statutes
Query: ",0.54429,
2026-01-16T16:46:34.507549,AILAStatutes,gen2_01,"Instruct: Accurately align details with relevant legal matches
Query: ",0.52349,
2026-01-16T16:46:35.032935,AILAStatutes,gen2_00,"Instruct: Match scenario with contextually applicable legal provisions
Query: ",0.55146,
2026-01-16T16:46:35.515238,AILAStatutes,gen2_02,"Instruct: Apply context to identify suitable statutes
Query: ",0.54072,
2026-01-16T16:46:42.438806,AILAStatutes,gen2_03,"Instruct: Efficiently link scenario context to exact legal matches
Query: ",0.52416,
2026-01-16T16:46:42.950994,AILAStatutes,gen2_04,"Instruct: Match context to most applicable scenarios
Query: ",0.52351,
2026-01-16T16:46:43.791297,AILAStatutes,gen2_05,"Instruct: Using details, match with precise legal provisions
Query: ",0.54417,
2026-01-16T16:46:49.350764,AILAStatutes,gen2_06,"Instruct: Pinpoint applicable statutes using contextual insight
Query: ",0.54116,
2026-01-16T16:46:49.917855,AILAStatutes,gen2_07,"Match scenario context with directly relevant legal provisions
Query: ",0.54151,
2026-01-16T16:46:50.749739,AILAStatutes,gen2_08,"Match details to the most fitting legal statutes
Query: ",0.55623,
2026-01-16T16:46:55.480682,AILAStatutes,gen2_09,"Instruct: Quickly identify best legal provision matches
Query: ",0.55637,
2026-01-16T16:46:56.990060,AILAStatutes,gen2_11,"Instruct: Contextualize and match with accurate legal statutes
Query: ",0.54419,
2026-01-16T16:46:57.820894,AILAStatutes,gen2_10,"Match scenario with the most precise legal context
Query: ",0.54087,
2026-01-16T16:47:02.539370,AILAStatutes,gen2_12,"Instruct: Find precise statutory matches from scenario context
Query: ",0.54933,
2026-01-16T16:47:04.024161,AILAStatutes,gen2_13,"Scenario details as basis for accurate legal alignments
Query: ",0.52513,
2026-01-16T16:47:05.974384,AILAStatutes,gen2_14,"Instruct: Use context to find exact legal provisions
Query: ",0.54746,
2026-01-16T16:49:43.575007,AILACasedocs,gen0_02,"Given a legal situation, find relevant court case documents that align with the facts",0.42972,
2026-01-16T16:49:43.797623,AILACasedocs,gen0_00,,0.47487,
2026-01-16T16:49:44.546831,AILACasedocs,gen0_01,"Based on the details provided, retrieve related legal precedents for reference",0.41224,
2026-01-16T16:51:03.594486,AILACasedocs,gen0_04,Locate court case documents demonstrating analogous legal reasoning for the situation,0.41436,
2026-01-16T16:51:06.531960,AILACasedocs,gen0_03,"For the scenario described, search for precedents that can offer potential resolutions",0.42284,
2026-01-16T16:51:11.012407,AILACasedocs,gen0_05,Identify case documents that precisely match the legal query to ensure accurate referencing,0.40751,
2026-01-16T16:53:44.974717,AILACasedocs,gen0_07,Fetch case documents with high semantic similarity to maximize reliable case analysis,0.42053,
2026-01-16T16:54:33.037323,AILACasedocs,gen0_06,"Using the given scenario, discover legal cases that provide contextually relevant insights",0.41812,
2026-01-16T16:54:45.085307,AILACasedocs,gen0_08,Obtain case precedents focusing on technical precision within the described scenario,0.41761,
2026-01-16T16:55:41.415390,AILACasedocs,gen0_10,Retrieve court documents with potentially impactful interpretations for the current legal question,0.43732,
2026-01-16T16:56:13.646486,AILACasedocs,gen0_09,Surface legal documents that involve similar legal principles and outcomes,0.43603,
2026-01-16T16:56:48.710147,AILACasedocs,gen0_11,"For the specified case facts, search for court rulings that set relevant legal precedents",0.42293,
2026-01-16T16:57:29.303410,AILACasedocs,gen0_13,Find legal documents that emphasize relevant statutory interpretations for comprehensive citation,0.41122,
2026-01-16T16:58:10.464058,AILACasedocs,gen0_14,"Given the scenario, obtain legal documents revealing interpretive nuances of case law",0.43426,
2026-01-16T16:58:13.753110,AILACasedocs,gen0_12,"Based on the outlined facts, match documents demonstrating comparable legal frameworks",0.41667,
2026-01-16T16:59:13.016255,AILACasedocs,gen0_16,Explore court documents ensuring broad coverage yet focused relevance,0.43532,
2026-01-16T16:59:34.003256,AILACasedocs,gen0_15,Identify documents that provide comprehensive legal answers respecting the scenario described,0.42158,
2026-01-16T17:00:15.723485,AILACasedocs,gen0_18,"For the described legal issue, fetch documents offering profound jurisprudential insights",0.41111,
2026-01-16T17:00:21.928314,AILACasedocs,gen0_17,Discover case documents highlighting pertinent procedural aspects of the scenario,0.41735,
2026-01-16T17:00:37.482883,AILACasedocs,gen0_19,Locate documents balancing comprehensive recall with precise relevance to the case,0.42562,
2026-01-16T17:01:18.525674,AILACasedocs,gen0_20,Search for case law that exemplifies critical legal reasoning akin to the situation,0.41859,
2026-01-16T17:01:25.356474,AILACasedocs,gen0_21,Employ semantic matching to draw parallels with legal precedents in similar circumstances,0.42296,
2026-01-16T17:01:40.222474,AILACasedocs,gen0_22,"Using provided context, identify cases evidencing parallel legal doctrines in action",0.40571,
2026-01-16T17:02:21.015350,AILACasedocs,gen0_23,"Based on the facts, obtain documents that emphasize exact statutory language discussed",0.39243,
2026-01-16T17:02:27.968177,AILACasedocs,gen0_24,Retrieve court documents reflecting analogous judicial outcomes for the defined legal issue,0.43298,
2026-01-16T17:03:41.410979,AILACasedocs,gen1_00,"Retrieve documents showing broad, impactful interpretations relevant to current legal questions",0.42549,
2026-01-16T17:03:41.656076,AILACasedocs,gen1_02,Surface court documents revealing broad nuances in case law interpretations,0.44117,
2026-01-16T17:03:41.748252,AILACasedocs,gen1_01,Explore legal principles with broad coverage matching relevant outcomes,0.43861,
2026-01-16T17:04:44.271041,AILACasedocs,gen1_04,"Obtain legal documents focused on broad, nuanced interpretive insights",0.44089,
2026-01-16T17:04:45.324309,AILACasedocs,gen1_03,Refine retrieval for relevant court documents ensuring comprehensive legal coverage,0.44102,
2026-01-16T17:04:47.099612,AILACasedocs,gen1_05,Retrieve precise yet broad legal documents highlighting case nuances,0.43134,
2026-01-16T17:06:01.420202,AILACasedocs,gen1_07,Explore nuanced court documents revealing comprehensive interpretive insights,0.44896,
2026-01-16T17:06:51.043739,AILACasedocs,gen1_08,"Discover broad, impactful documents enhancing legal understanding",0.43601,
2026-01-16T17:07:35.256631,AILACasedocs,gen1_06,Surface relevant documents with broad contextual legal coverage,0.43248,
2026-01-16T17:07:53.497863,AILACasedocs,gen1_10,Surface essential documents showcasing broad legal coverage,0.43426,
2026-01-16T17:08:17.713891,AILACasedocs,gen1_09,Identify the most relevant documents reflecting broad legal principles,0.40956,
2026-01-16T17:08:51.806039,AILACasedocs,gen1_11,Experiment with framing to enhance retrieval of relevant legal documents,0.44312,
2026-01-16T17:09:19.163385,AILACasedocs,gen1_12,Retrieve documents innovatively matching comprehensive legal inquiries,0.43951,
2026-01-16T17:10:42.320851,AILACasedocs,gen1_13,Explore experimental approaches to legal document retrieval with broad coverage,0.43253,
2026-01-16T17:10:57.506294,AILACasedocs,gen1_14,Push the boundaries of relevant document retrieval with broad legal insight,0.43558,
