timestamp,dataset,prompt_id,prompt,corpus_prompt_id,corpus_prompt,score,error
2026-02-20T15:56:44.736843,LegalQuAD,gen0_q00,{text},gen0_c00,{text},0.69669,
2026-02-20T15:56:46.377540,LegalQuAD,gen0_q00,{text},gen0_c05,Legal text: {text},0.69977,
2026-02-20T15:56:47.949603,LegalQuAD,gen0_q00,{text},gen0_c04,German law excerpt: {text},0.69609,
2026-02-20T15:56:49.622465,LegalQuAD,gen0_q00,{text},gen0_c01,German legal passage: {text},0.69844,
2026-02-20T15:56:51.192162,LegalQuAD,gen0_q00,{text},gen0_c03,Relevant legal provision: {text},0.69672,
2026-02-20T15:56:52.665480,LegalQuAD,gen0_q00,{text},gen0_c02,Legal document content: {text},0.69836,
2026-02-20T15:57:06.169518,LegalQuAD,gen0_q00,{text},gen0_c06,Statutory provision: {text},0.69539,
2026-02-20T15:57:07.266392,LegalQuAD,gen0_q00,{text},gen0_c07,Legal reference: {text},0.70112,
2026-02-20T15:57:09.367424,LegalQuAD,gen0_q00,{text},gen0_c08,German legal statute: {text},0.70084,
2026-02-20T15:57:10.708783,LegalQuAD,gen0_q00,{text},gen0_c09,Legal paragraph: {text},0.69953,
2026-02-20T15:57:12.313273,LegalQuAD,gen0_q01,"Instruct: Retrieve relevant German legal passages
Query: {text}",gen0_c00,{text},0.5914,
2026-02-20T15:57:13.516440,LegalQuAD,gen0_q01,"Instruct: Retrieve relevant German legal passages
Query: {text}",gen0_c01,German legal passage: {text},0.6227,
2026-02-20T15:57:26.948698,LegalQuAD,gen0_q01,"Instruct: Retrieve relevant German legal passages
Query: {text}",gen0_c02,Legal document content: {text},0.60816,
2026-02-20T15:57:28.244160,LegalQuAD,gen0_q01,"Instruct: Retrieve relevant German legal passages
Query: {text}",gen0_c03,Relevant legal provision: {text},0.59611,
2026-02-20T15:57:30.635202,LegalQuAD,gen0_q01,"Instruct: Retrieve relevant German legal passages
Query: {text}",gen0_c04,German law excerpt: {text},0.6259,
2026-02-20T15:57:31.297878,LegalQuAD,gen0_q01,"Instruct: Retrieve relevant German legal passages
Query: {text}",gen0_c05,Legal text: {text},0.61798,
2026-02-20T15:57:33.227127,LegalQuAD,gen0_q01,"Instruct: Retrieve relevant German legal passages
Query: {text}",gen0_c06,Statutory provision: {text},0.60026,
2026-02-20T15:57:34.388726,LegalQuAD,gen0_q01,"Instruct: Retrieve relevant German legal passages
Query: {text}",gen0_c07,Legal reference: {text},0.60563,
2026-02-20T15:57:47.629650,LegalQuAD,gen0_q01,"Instruct: Retrieve relevant German legal passages
Query: {text}",gen0_c08,German legal statute: {text},0.61823,
2026-02-20T15:57:48.837953,LegalQuAD,gen0_q01,"Instruct: Retrieve relevant German legal passages
Query: {text}",gen0_c09,Legal paragraph: {text},0.61025,
2026-02-20T15:57:51.850481,LegalQuAD,gen0_q02,Find German legal documents that best answer: {text},gen0_c01,German legal passage: {text},0.62764,
2026-02-20T15:57:51.883056,LegalQuAD,gen0_q02,Find German legal documents that best answer: {text},gen0_c00,{text},0.6099,
2026-02-20T15:57:53.782081,LegalQuAD,gen0_q02,Find German legal documents that best answer: {text},gen0_c02,Legal document content: {text},0.61107,
2026-02-20T15:57:55.339064,LegalQuAD,gen0_q02,Find German legal documents that best answer: {text},gen0_c03,Relevant legal provision: {text},0.61207,
2026-02-20T15:58:08.269163,LegalQuAD,gen0_q02,Find German legal documents that best answer: {text},gen0_c04,German law excerpt: {text},0.6245,
2026-02-20T15:58:09.465753,LegalQuAD,gen0_q02,Find German legal documents that best answer: {text},gen0_c05,Legal text: {text},0.62941,
2026-02-20T15:58:12.488909,LegalQuAD,gen0_q02,Find German legal documents that best answer: {text},gen0_c06,Statutory provision: {text},0.61064,
2026-02-20T15:58:13.274730,LegalQuAD,gen0_q02,Find German legal documents that best answer: {text},gen0_c07,Legal reference: {text},0.6094,
2026-02-20T15:58:14.324032,LegalQuAD,gen0_q02,Find German legal documents that best answer: {text},gen0_c08,German legal statute: {text},0.62258,
2026-02-20T15:58:16.013193,LegalQuAD,gen0_q02,Find German legal documents that best answer: {text},gen0_c09,Legal paragraph: {text},0.61509,
2026-02-20T15:58:28.977010,LegalQuAD,gen0_q03,Search for passages that precisely match: {text},gen0_c00,{text},0.57283,
2026-02-20T15:58:30.421859,LegalQuAD,gen0_q03,Search for passages that precisely match: {text},gen0_c01,German legal passage: {text},0.5873,
2026-02-20T15:58:33.209993,LegalQuAD,gen0_q03,Search for passages that precisely match: {text},gen0_c02,Legal document content: {text},0.57209,
2026-02-20T15:58:34.539981,LegalQuAD,gen0_q03,Search for passages that precisely match: {text},gen0_c03,Relevant legal provision: {text},0.57326,
2026-02-20T15:58:34.857733,LegalQuAD,gen0_q03,Search for passages that precisely match: {text},gen0_c04,German law excerpt: {text},0.59452,
2026-02-20T15:58:36.596099,LegalQuAD,gen0_q03,Search for passages that precisely match: {text},gen0_c05,Legal text: {text},0.58715,
2026-02-20T15:58:49.645618,LegalQuAD,gen0_q03,Search for passages that precisely match: {text},gen0_c06,Statutory provision: {text},0.5705,
2026-02-20T15:58:51.101988,LegalQuAD,gen0_q03,Search for passages that precisely match: {text},gen0_c07,Legal reference: {text},0.57596,
2026-02-20T15:58:53.891558,LegalQuAD,gen0_q03,Search for passages that precisely match: {text},gen0_c08,German legal statute: {text},0.57859,
