Dataset,Gen3_Prompt,Gen4_Prompt,Gen5_Prompt,Gen6_Prompt,Gen7_Prompt,Gen8_Prompt,Gen9_Prompt
AILACasedocs,(baseline),(baseline),(baseline),(baseline),Law query:,Court request:,Court request:
AILAStatutes,Instruct: Match the provided context with accurate legal provisions Query:,Instruct: Match context with the best-fitting legal statute provisions Query:,Instruct: Match context with the best-fitting legal statute provisions Query:,Instruct: Match context with the best-fitting legal statute provisions Query:,Instruct: Match context with the best-fitting legal statute provisions Query:,Instruct: Match context with the best-fitting legal statute provisions Query:,Instruct: Match context with the best-fitting legal statute provisions Query:
ChatDoctorRetrieval,(baseline),(baseline),(baseline),Clarify medically with comprehensive effective responses,Clarify medically with comprehensive effective responses,Clarify medically with comprehensive effective responses,Clarify medically with comprehensive effective responses
DS1000Retrieval,For computational tasks retrieve scripts using scipy and numpy,For computational tasks retrieve scripts using scipy and numpy,For computational tasks retrieve scripts using scipy and numpy,For computational tasks retrieve scripts using scipy and numpy,For computational tasks retrieve scripts using scipy and numpy,For computational tasks retrieve scripts using scipy and numpy,Instruct: Efficiently fetch Python data scripts using numpy Query:
FinQARetrieval,(baseline),(baseline),(baseline),(baseline),(baseline),(baseline),(baseline)
FinanceBenchRetrieval,Convey the essential financial data using filing-based analysis,Convey the essential financial data using filing-based analysis,Derive pertinent financial data using primary SEC filings,Derive pertinent financial data using primary SEC filings,Derive pertinent financial data using primary SEC filings,Instruct: Gather pertinent financial insights using primary reports Query:,Gather directly applicable financial data from key SEC documents Query:
FreshStackRetrieval,(baseline),Tap into Stack Overflow for resolution patterns,Tap into Stack Overflow for resolution patterns,Tap into Stack Overflow for resolution patterns,Tap into Stack Overflow for resolution patterns,Tap into Stack Overflow for resolution patterns,Tap into Stack Overflow for resolution patterns
HC3FinanceRetrieval,Find comprehensive finance documents that answer the question accurately,Seek out finance Q&A documents answering the question completely,Seek out finance Q&A documents answering the question completely,Seek out finance Q&A documents answering the question completely,Seek out finance Q&A documents answering the question completely,Seek out finance Q&A documents answering the question completely,Find finance Q&A providing complete and relevant answers Query:
HumanEvalRetrieval,Identify the appropriate Python function for the problem,Identify the appropriate Python function for the problem,Return the easiest Python function solving the problem,Return the easiest Python function solving the problem,Return the easiest Python function solving the problem,Return the easiest Python function solving the problem,Return the easiest Python function solving the problem
LegalQuAD,(baseline),Surface directly applicable legal content,Surface directly applicable legal content,Surface directly applicable legal content,Surface directly applicable legal content,Surface directly applicable legal content,Surface directly applicable legal content
LegalSummarization,Search using domain-specific language to retrieve accurate documents,Search for comprehensive legal documents to aid summarization,Search using domain-specific language to extract comprehensive summaries,Search using domain-specific language to extract comprehensive summaries,Search using domain-specific language to extract comprehensive summaries,Collect legal documents ensuring broad summarization coverage Query:,Collect legal documents ensuring broad summarization coverage Query:
WikiSQLRetrieval,For the database inquiry surface the SQL query that matches,For the database inquiry surface the SQL query that matches,For the database inquiry surface the SQL query that matches,For the database inquiry surface the SQL query that matches,For the database inquiry surface the SQL query that matches,Uncover SQL query precisely tailored to inquiry,Uncover SQL query precisely tailored to inquiry
